company_name(s),dead_url,error_or_status,confidence_dead,working_alternate,alternate_type
Ballinasloe Library - Story time for toddlers to under 5s; Ballybane Library - Toddler Group / Junior Book Club; Galway City Library - Baby & Toddler Group; Oranmore Library - Story time for toddlers to under 5s; Portumna Library - Toddler (up to 5) Storytime / Lego Group; Tuam Library - Baby and Toddler Group; Tuam Library - Toddler Group/ Breastfeeding Group/ Storytime; Westside Library - Toddler Story Group,https://galway.spydus.ie./cgi-bin/spydus.exe/MSGTRN/WPAC/HOME,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'galway.spydus.ie.'. (_ssl.c:1082)>",MEDIUM - site up but broken/expired SSL certificate,http://galway.spydus.ie./cgi-bin/spydus.exe/MSGTRN/WPAC/HOME,same domain (safe)
Callan Kilkenny - Baby & Toddler Group- Droichead Family Resource Centre,https://droicheadfrc.ie/,HTTP Error 503: Service Temporarily Unavailable,MEDIUM - server error (could be transient),,
Finglas Baby & Toddler Groups /Breastfeeding /Baby Massage,https://4familiesinfinglas.ie/st-helenas-family-resource-centre/,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '4familiesinfinglas.ie'. (_ssl.c:1082)>",MEDIUM - site up but broken/expired SSL certificate,,
"Knockanrawley Parent, Baby & Toddler Group",https://knockanrawley.ie/community-programme/,HTTP Error 500: Internal Server Error,MEDIUM - server error (could be transient),,
Mini Athletics Dundalk Drogheda and Swords,https://ie.miniathletics.com,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ie.miniathletics.com'. (_ssl.c:1082)>",MEDIUM - site up but broken/expired SSL certificate,http://ie.miniathletics.com/,same domain (safe)
Navan Library Parent and Toddler Group,https://www.meath.ie/council/events/navan-parent-and-toddler-storytime,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>,MEDIUM - site up but broken/expired SSL certificate,,
Neuroverse Explorers,https://beeutifulminds.ie,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1082)>,MEDIUM - site up but broken/expired SSL certificate,https://www.beeutifulminds.ie/,same domain (safe)
Oldcastle Library Parent and Toddler Group,https://www.meath.ie/council/events/oldcastle-parent-toddler-group,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>,MEDIUM - site up but broken/expired SSL certificate,,
"Ramsgrange Parent, Baby and Toddler Group",http://swwfrc.ie/family-supports-swwfrc/the-parent-and-toddler-group/,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1082)>,MEDIUM - site up but broken/expired SSL certificate,,
"Tallaght Parent, Baby and Toddler Group -St Kevin's Family Resource Centre",https://stkevinsfrc.ie/support/parent-toddler-group/,HTTP Error 500: Internal Server Error,MEDIUM - server error (could be transient),,
"Trim Library Baby, Toddler and Kids Groups",https://www.meath.ie/events?keywords=&type%5B0%5D=919&ends=2024-07-07T10%3A29%3A48Z&location=&page=0,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>,MEDIUM - site up but broken/expired SSL certificate,,
www.birthandbaby.ie,https://www.birthandbaby.ie/,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.birthandbaby.ie'. (_ssl.c:1082)>",MEDIUM - site up but broken/expired SSL certificate,https://www.birthandbaby.com/,DIFFERENT DOMAIN - verify it is the same business
Balcultry Stables,https://balcultrystables.ie/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",,
"Ballyhea Parent, Baby & Toddler Group",https://totsspots.com/listing/ballyhea-parent-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/ballyhea-parent-baby-toddler-group/,same domain (safe)
"Carrigaline Parent, Baby & Toddler Group",https://totsspots.com/listing/carrigaline-parent-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/carrigaline-parent-toddler-group/,same domain (safe)
"Clondalkin Parent, Baby and Toddler Group",https://totsspots.com/listing/clondalkin-parent-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/clondalkin-parent-baby-toddler-group/,same domain (safe)
"Corramartin/Aughnasheelin Parent, Baby & Toddler Group",https://totsspots.com/listing/corramartin-aughnasheelin-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/corramartin-aughnasheelin-baby-toddler-group/,same domain (safe)
Craughwell Baby & Toddler Group,https://totsspots.com/listing/craughwell-parent-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/craughwell-parent-baby-toddler-group/,same domain (safe)
